ROUTECD,PARTCUSTID,ORDERENDTIME,DELIVERTM,WEEKEND
R12,C718,855,1000,
R12,J704,855,1000,
R12,J754,855,1000,
R12,C706,855,1000,
R12,C754,855,1000,
R12,C713,855,1000,
R12,J705,855,1000,
R12,J755,855,1000,
R12,J738,855,1000,Y
R11,C714,855,1000,
R11,C727,855,1000,
R11,C707,855,1000,
R11,R76G,855,1000,
R11,C73C,855,1000,Y
R11,C739,855,1000,Y
R11,C701,855,1000,
R11,C708,855,1000,
R11,C73B,855,1000,
R13,C709,855,1000,
R13,C716,855,1000,
R13,C726,855,1000,
R13,C752,855,1000,
R13,C737,855,1000,
R13, C756,855,1000,
R19,C715,855,1000,
R19,A743,855,1000,
R19,A712,855,1000,
R19,大智通,855,1000,
R19,A742,855,1000,
R19,A713,855,1000,
R19,C731,855,1000,
R5,C703,925,1030,
R5,C753,925,1030,
R5,J703,925,1030,
R5,J753,925,1030,
R5,M703,925,1030,
R5,M753,925,1030,
R5,M709,925,1030,
R5,C702,925,1030,
R5,C751,925,1030,
R5,R769,925,1030,
R5,R764,925,1030,
R5,C73H,925,1030,
R8,C724,925,1030,
R8,C719,925,1030,
R8,C755,925,1030,
R8,J717,925,1030,
R8,J767,925,1030,
R8,J783,925,1030,
R8,C725,925,1030,
R8,C734,925,1030,Y
R6,C723,925,1030,
R6,C712,925,1030,
R6,C717,925,1030,
R6,C722,925,1030,
R6,4277,925,1030,
R6,GR01,925,1030,
R1,B713,1030,1130,
R1,B716,1030,1130,
R1,B785,1030,1130,
R1,B722,1030,1130,
R1,R703,1030,1130,
R1,B741,1030,1130,
R1,B742,1030,1130,
R7,A702,1030,1130,
R7,A729,1030,1130,
R7,A755,1030,1130,
R9,A724,1030,1130,
R9,A752,1030,1130,
R9,A701,1030,1130,
R9,J702,1030,1130,
R9,J752,1030,1130,
R9,A744,1030,1130,
R18,B743,1030,1130,
R18,B721,1030,1130,
R18,G701,1030,1130,
R18,G702,1030,1130,
R18,G751,1030,1130,
R18,G752,1030,1130,
R10,J718,1100,1200,
R10,B756,1100,1200,
R10,B708,1100,1200,
R10,B730,1100,1200,
R10,B749,1100,1200,
R10,B731,1100,1200,
R14,B705,1100,1200,
R14,B701,1100,1200,
R14,B752,1100,1200,
R14,B732,1100,1200,
R14,B736,1100,1200,
R14,B748,1100,1200,
R14,B746,1100,1200,
R14,B74G,1100,1200,
R3,B755,1100,1200,
R3,B703,1100,1200,
R3,B718,1100,1200,
R3,B714,1100,1200,
R3,B706,1100,1200,
R3,B751,1100,1200,
R3,B74A,1100,1200,
R3,B74H,1100,1200,
R21,A711,1100,1200,
R21,A741,1100,1200,
R21,A71A,1100,1200,
R21,A717,1100,1200,
R21,台北港,1100,1200,
R21,A74G,1100,1200,
R21,A74C,1100,1200,
R17,B717,1130,1230,
R17,A709,1130,1230,
R17,J716,1130,1230,
R17,J766,1130,1230,
R17,M702,1130,1230,
R17,M752,1130,1230,
R17,A747,1130,1230,
R17,A74B,1130,1230,
R4,A754,1130,1230,
R4,A703,1130,1230,
R4,A728,1130,1230,
R4,A720,1130,1230,
R4,A749,1130,1230,
R4,A74A,1130,1230,
R4,A74D,1130,1230,
R4,A74H,1130,1230,
R2,A714,1130,1230,
R2,A726,1130,1230,
R2,R751,1130,1230,
R2,A719,1130,1230,
R2,A725,1130,1230,
R2,A782,1130,1230,
R2,A798,1130,1230,
R2,R752,1130,1230,
R2,R704,1130,1230,
R2,J701,1130,1230,
R2,A74E,1130,1230,
R2,A705,1130,1230,
R2,A756,1130,1230,
R20,A753,1130,1230,
R20,A748,1130,1230,
R20,B74C,1130,1230,
R20,B747,1130,1230,
R20,A716,1130,1230,
R20,B702,1130,1230,
TS01,R767,1200,1300,
TS01,R76C,1200,1300,
TS01,A751,1200,1300,
TS01,R728,1200,1300,
TS01,A746,1200,1300,
TS01,HOTAI,1200,1300,
TS01,A745,1200,1300,
M1,A785,1200,1300,
M1,C785,1200,1300,
M1,C728,1200,1300,
M1,C73E,1200,1300,
M1,C733,1200,1300,
R12,C718,1200,1300,
R12,C738,1200,1300,
R12,C706,1200,1300,
R12,C754,1200,1300,
R12,C713,1200,1300,
R12,J705,1200,1300,
R12,J755,1200,1300,
R12,J704,1200,1300,
R12,J754,1200,1300,
R11,C714,1200,1300,
R11,C73C,1200,1300,
R11,C727,1200,1300,
R11,C707,1200,1300,
R11,C701,1200,1300,
R11,R76G,1200,1300,
R11,C739,1200,1300,
R11,C708,1200,1300,
R13,C709,1200,1300,
R13,C715,1200,1300,
R13,C726,1200,1300,
R13,C752,1200,1300,
R13,C756,1200,1300,
R13,C73D,1200,1300,
R6,C712,1350,1430,
R6,C73G,1350,1430,
R6,C723,1350,1430,
R6,A713,1350,1430,
R6,A712,1350,1430,
R19,C73F,1350,1430,
R19,C735,1350,1430,
R19,C736,1350,1430,
R19,V753,1350,1430,
R19,V774,1350,1430,
R19,C732,1350,1430,
R19,C740,1350,1430,
R19,C717,1350,1430,
R19,C722,1350,1430,
R19,4277,1350,1430,
R19,GR01,1350,1430,
R8,C734,1350,1450,
R8,C725,1350,1450,
R8,C73A,1350,1450,
R8,C719,1350,1450,
R8,C755,1350,1450,
R8,J717,1350,1450,
R8,J767,1350,1450,
R8,J783,1350,1450,
R5,C703,1350,1450,
R5,C753,1350,1450,
R5,J703,1350,1450,
R5,J753,1350,1450,
R5,M703,1350,1450,
R5,M753,1350,1450,
R5,M709,1350,1450,
R5,C702,1350,1450,
R5,C751,1350,1450,
R5,C724,1350,1450,
R5,R701,1350,1450,
R1,B717,1500,1630,
R1,B721,1500,1630,
R1,B722,1500,1630,
R1,B713,1500,1630,
R1,B716,1500,1630,
R1,B74B,1500,1630,
R3,B703,1500,1630,
R3,B178,1500,1630,
R3,B174,1500,1630,
R3,B755,1500,1630,
R3,B74C,1500,1630,
R3,B706,1500,1630,
R3,A720,1500,1630,
R3,B702,1500,1630,
R3,B74E,1500,1630,
R7,A705,1500,1630,
R7,A702,1500,1630,
R7,A717,1500,1630,
R7,A729,1500,1630,
R7,A755,1500,1630,
R7,A756,1500,1630,
R10,J718,1600,1700,
R10,B756,1600,1700,
R10,B708,1600,1700,
R10,B730,1600,1700,
R10,J701,1600,1700,
R10,J751,1600,1700,
R10,B74D,1600,1700,
R14,A711,1600,1700,
R14,B705,1600,1700,
R14,B701,1600,1700,
R14,B752,1600,1700,
R14,B732,1600,1700,
R14,B736,1600,1700,
R9,A724,1600,1700,
R9,A752,1600,1700,
R9,A701,1600,1700,
R9,J702,1600,1700,
R9,M702,1600,1700,
R9,M752,1600,1700,
R9,M706,1600,1700,
R9,J716,1600,1700,
R9,J766,1600,1700,
R22,C703,1610,1730,
R22,C712,1610,1730,
R22,C718,1610,1730,
R22,C726,1610,1730,
R22,C707,1610,1730,
R2,A714,1630,1730,
R2,A726,1630,1730,
R2,A753,1630,1730,
R4,A709,1630,1730,
R4,A754,1630,1730,
R4,A703,1630,1730,
R4,A716,1630,1730,
R4,A728,1630,1730,
R99,LB02,1630,1730,
R15,SDTC,1730,1830,
R16,SDHN,1730,1830,
SDHN,SDHN,1730,1830,
SDHN,E701,1730,1830,
SDHN,E702,1730,1830,
SDHN,E704,1730,1830,
SDHN,E705,1730,1830,
SDHN,E706,1730,1830,
SDHN,E708,1730,1830,
SDHN,E709,1730,1830,
SDHN,E711,1730,1830,
SDHN,E712,1730,1830,
SDHN,E713,1730,1830,
SDHN,E715,1730,1830,
SDHN,E718,1730,1830,
SDHN,E719,1730,1830,
SDHN,E721,1730,1830,
SDHN,E74B,1730,1830,
SDHN,E751,1730,1830,
SDHN,E752,1730,1830,
SDHN,F701,1730,1830,
SDHN,F703,1730,1830,
SDHN,F704,1730,1830,
SDHN,F708,1730,1830,
SDHN,F709,1730,1830,
SDHN,F710,1730,1830,
SDHN,F711,1730,1830,
SDHN,F712,1730,1830,
SDHN,F713,1730,1830,
SDHN,F714,1730,1830,
SDHN,F715,1730,1830,
SDHN,F716,1730,1830,
SDHN,F717,1730,1830,
SDHN,F718,1730,1830,
SDHN,F719,1730,1830,
SDHN,F720,1730,1830,
SDHN,F721,1730,1830,
SDHN,F722,1730,1830,
SDHN,F724,1730,1830,
SDHN,F727,1730,1830,
SDHN,F728,1730,1830,
SDHN,F751,1730,1830,
SDHN,F752,1730,1830,
SDHN,F753,1730,1830,
SDHN,J709,1730,1830,
SDHN,J710,1730,1830,
SDHN,J711,1730,1830,
SDHN,J712,1730,1830,
SDHN,J713,1730,1830,
SDHN,J761,1730,1830,
SDHN,M705,1730,1830,
SDHN,E722,1730,1830,
SDHN,E723,1730,1830,
SDHN,E741,1730,1830,
SDHN,E742,1730,1830,
SDHN,E743,1730,1830,
SDHN,E744,1730,1830,
SDHN,E745,1730,1830,
SDHN,E747,1730,1830,
SDHN,E748,1730,1830,
SDHN,E749,1730,1830,
SDHN,E74C,1730,1830,
SDHN,E74D,1730,1830,
SDHN,E74E,1730,1830,
SDHN,E74F,1730,1830,
SDHN,E74G,1730,1830,
SDHN,F729,1730,1830,
SDHN,F730,1730,1830,
SDHN,F741,1730,1830,
SDHN,F742,1730,1830,
SDHN,F743,1730,1830,
SDHN,F744,1730,1830,
SDHN,F745,1730,1830,
SDHN,F746,1730,1830,
SDHN,F747,1730,1830,
SDHN,F748,1730,1830,
SDHN,F749,1730,1830,
SDHN,F74A,1730,1830,
SDHN,F74B,1730,1830,
SDHN,F74C,1730,1830,
SDHN,F74D,1730,1830,
SDHN,F74E,1730,1830,
SDHN,F74F,1730,1830,
SDHN,F74G,1730,1830,
SDHN,F74H,1730,1830,
SDHN,F74J,1730,1830,
SDHN,F74K,1730,1830,
SDHN,F754,1730,1830,
SDHN,F755,1730,1830,
SDHN,J759,1730,1830,
SDHN,J760,1730,1830,
SDHN,J762,1730,1830,
SDHN,J790,1730,1830,
SDTC,C711,1730,1830,
SDTC,D701,1730,1830,
SDTC,D702,1730,1830,
SDTC,D703,1730,1830,
SDTC,D704,1730,1830,
SDTC,D705,1730,1830,
SDTC,D706,1730,1830,
SDTC,D707,1730,1830,
SDTC,D708,1730,1830,
SDTC,D709,1730,1830,
SDTC,D710,1730,1830,
SDTC,D711,1730,1830,
SDTC,D712,1730,1830,
SDTC,D713,1730,1830,
SDTC,D714,1730,1830,
SDTC,D716,1730,1830,
SDTC,D718,1730,1830,
SDTC,D719,1730,1830,
SDTC,D720,1730,1830,
SDTC,D721,1730,1830,
SDTC,D723,1730,1830,
SDTC,D725,1730,1830,
SDTC,D728,1730,1830,
SDTC,D729,1730,1830,
SDTC,D730,1730,1830,
SDTC,D741,1730,1830,
SDTC,D743,1730,1830,
SDTC,D744,1730,1830,
SDTC,D745,1730,1830,
SDTC,D746,1730,1830,
SDTC,D747,1730,1830,
SDTC,D748,1730,1830,
SDTC,D749,1730,1830,
SDTC,D74A,1730,1830,
SDTC,D74C,1730,1830,
SDTC,D74D,1730,1830,
SDTC,D74E,1730,1830,
SDTC,D74F,1730,1830,
SDTC,D74G,1730,1830,
SDTC,D74H,1730,1830,
SDTC,D74J,1730,1830,
SDTC,D74K,1730,1830,
SDTC,D751,1730,1830,
SDTC,D752,1730,1830,
SDTC,D753,1730,1830,
SDTC,D754,1730,1830,
SDTC,D756,1730,1830,
SDTC,E703,1730,1830,
SDTC,E707,1730,1830,
SDTC,E710,1730,1830,
SDTC,E716,1730,1830,
SDTC,E720,1730,1830,
SDTC,E724,1730,1830,
SDTC,E746,1730,1830,
SDTC,E74A,1730,1830,
SDTC,E754,1730,1830,
SDTC,HTBM,1730,1830,
SDTC,HTBS,1730,1830,
SDTC,J706,1730,1830,
SDTC,J707,1730,1830,
SDTC,J714,1730,1830,
SDTC,J715,1730,1830,
SDTC,J756,1730,1830,
SDTC,J757,1730,1830,
SDTC,J764,1730,1830,
SDTC,SDTC,1730,1830,
SDTC,D722,1730,1830,
SDTC,D742,1730,1830,
SDTC,D74B,1730,1830,
SDTC,D724,1730,1830,
SDTC,D731,1730,1830,
CPD,CPD,1730,1830,
R18,G701,1600,1830,
R18,G702,1600,1830,
R18,G751,1600,1830,
R18,G752,1600,1830,
R18,G741,1600,1830,
H1,H701,1730,1830,
H1,H702,1730,1830,
H1,H704,1730,1830,
H1,H705,1730,1830,
H1,H751,1730,1830,
H1,G787,1730,1830,
H1,G798,1730,1830,
H1,H754,1730,1830,
H1,H755,1730,1830,
H1,H756,1730,1830,
H1,H791,1730,1830,
H1,H798,1730,1830,
H1,H741,1730,1830,
H1,H752,1730,1830,
H1,H742,1730,1830,
H1,G701,1730,1830,
H1,G702,1730,1830,
H1,G751,1730,1830,
H1,G752,1730,1830,
H1,G741,1730,1830,
